catalogue_number,artist
45-1766,Jimmy Smith
45-1789,Art Blakey & The Jazz Messengers
45-1793,The Three Sounds
45-1877,Jimmy Smith
BLP 1583,Curtis Fuller
BLP 4021,Kenny Burrell with Art Blakey
BLP 4022,Duke Pearson
BLP 4024,Jackie McLean
BLP 4025,Lou Donaldson
BLP 4026,Donald Byrd
BLP 4027,Freddie Redd Quartet With Jackie McLean
BLP 4028,Horace Parlan
BLP 4029,Art Blakey & The Jazz Messengers
BLP 4030,The Incredible Jimmy Smith*
BLP 4031,Hank Mobley
BLP 4032,Sonny Red
BLP 4033,Dizzy Reece
BLP 4035,Duke Pearson
BLP 4036,Lou Donaldson
BLP 4037,Horace Parlan
BLP 4038,Jackie McLean
BLP 4039,Stanley Turrentine
BLP 4040,Freddie Hubbard
BLP 4041,Tina Brooks